,region,electorate_2019,population_2020,area_km2,representative,,party,province_name,district_no,district_link
71,IV-A,257792,453666,558.1,Aniela Tolentino,,NUP,Cavite,8,/wiki/Cavite%27s_8th_congressional_district
72,VII,431872,809335,527.06,Rhea Mhae Gullas,,Lakas,Cebu,1,/wiki/Cebu%27s_1st_congressional_district
73,VII,161412,257658,740.67,Edsel Galeos,,Lakas,Cebu,2,/wiki/Cebu%27s_2nd_congressional_district
74,VII,369340,616326,1258.08,Pablo John Garcia,,NUP,Cebu,3,/wiki/Cebu%27s_3rd_congressional_district
75,VII,323278,540814,740.41,Janice Salimbangon,,NUP,Cebu,4,/wiki/Cebu%27s_4th_congressional_district
76,VII,366162,643946,877.67,Vincent Franco Frasco,,NUP,Cebu,5,/wiki/Cebu%27s_5th_congressional_district
77,VII,350166,218607,89.05,Daphne Lagon,,Lakas,Cebu,6,/wiki/Cebu%27s_6th_congressional_district
78,VII,156665,238699,641.62,Peter John Calderon,,NPC,Cebu,7,/wiki/Cebu%27s_7th_congressional_district
79,VII,325577,406378,130.43,Rachel Marguerite del Mar,,NPC,Cebu City,1,/wiki/Cebu_City%27s_1st_congressional_district
80,VII,384031,557791,142.14,Eduardo Rama Jr.,,Lakas,Cebu City,2,/wiki/Cebu_City%27s_2nd_congressional_district
81,XII,269395,569265,2420.58,Joselito Sacdalan,,PDP,Cotabato,1,/wiki/Cotabato%27s_1st_congressional_district
82,XII,250013,432405,3321.37,Rudy Caoagdan,,Nacionalista,Cotabato,2,/wiki/Cotabato%27s_2nd_congressional_district
83,XII,253883,488948,3266.95,Maria Alana Samantha Santos,,Lakas,Cotabato,3,/wiki/Cotabato%27s_3rd_congressional_district
84,XI,389332,618729,1010.77,Paolo Duterte,,HNP,Davao City,1,/wiki/Davao_City%27s_1st_congressional_district
85,XI,308189,634158,830.37,Vincent Garcia,,HNP,Davao City,2,/wiki/Davao_City%27s_2nd_congressional_district
86,XI,287083,524062,1298.97,Isidro Ungab,,HNP,Davao City,3,/wiki/Davao_City%27s_3rd_congressional_district
87,XI,210940,346257,2069.03,Maricar Zamora,,Lakas,Davao de Oro,1,/wiki/Davao_de_Oro%27s_1st_congressional_district
88,XI,252002,421290,2410.74,Ruwel Peter Gonzaga,,PDP,Davao de Oro,2,/wiki/Davao_de_Oro%27s_2nd_congressional_district
89,XI,301337,552642,2395.64,Pantaleon Alvarez,,Reporma,Davao del Norte,1,/wiki/Davao_del_Norte%27s_1st_congressional_district
90,XI,304306,572415,1031.33,Alan Dujali,,HNP,Davao del Norte,2,/wiki/Davao_del_Norte%27s_2nd_congressional_district
91,XI,425586,680481,2163.98,John Tracy Cagas,,Nacionalista,Davao del Sur,at-large,/wiki/Davao_del_Sur%27s_at-large_congressional_district
92,XI,182122,317159,2163.45,Claude Bautista,,Lakas,Davao Occidental,at-large,/wiki/Davao_Occidental%27s_at-large_congressional_district
