,City,Population (2020),Province,Region,Legal Class,Charter,Area_km2,Area_mi2,Density_km2,Density_mi2,Chater,Approval_date,Approval_a,Approval_b,Approval_c,Ratification_date,Ratification_a,Ratification_b,Ratification_c,Article Link
117,Santa Rosa,414812,Laguna,IV-A,CC,RA 09264 [159],54.84,21.17,7564.0,19591.0,RA 09264 ,"('March', '10', '2004')",March,10,2004,"('July', '10', '2004')",July,10,2004,"/wiki/Santa_Rosa,_Laguna"
118,Santo Tomas,218500,Batangas,IV-A,CC,RA 11086 [161],95.41,36.84,2290.0,5931.0,RA 11086 ,"('October', '5', '2018')",October,5,2018,"('September', '7', '2019')",September,7,2019,"/wiki/Santo_Tomas,_Batangas"
119,Santiago,148580,Isabela,II,ICC,RA 07720 [162],255.5,98.65,582.0,1506.0,RA 07720 ,"('May', '5', '1994')",May,5,1994,"('July', '3', '1994')",July,3,1994,"/wiki/Santiago,_Isabela"
120,Silay,130478,Negros Occidental,VI,CC,RA 01621 [163],214.8,82.93,607.0,1573.0,RA 01621 ,"('June', '12', '1957')",June,12,1957,"('June', '12', '1957')",June,12,1957,/wiki/Silay
121,Sipalay,72448,Negros Occidental,VI,CC,RA 09027 [164],379.78,146.63,191.0,494.0,RA 09027 ,"('March', '5', '2001')",March,5,2001,"('March', '31', '2001')",March,31,2001,/wiki/Sipalay
122,Sorsogon City,182237,Sorsogon,V,CC,RA 08806 [165],276.11,106.61,660.0,1709.0,RA 08806 ,"('August', '16', '2000')",August,16,2000,"('December', '16', '2000')",December,16,2000,/wiki/Sorsogon_City
123,Surigao City,171107,Surigao del Norte,XIII,CC,RA 06134 [166],245.3,94.71,698.0,1807.0,RA 06134 ,"('August', '31', '1970')",August,31,1970,"('August', '31', '1970')",August,31,1970,/wiki/Surigao_City
124,Tabaco,140961,Albay,V,CC,RA 09020 [167],117.14,45.23,1203.0,3117.0,RA 09020 ,"('March', '5', '2001')",March,5,2001,"('March', '24', '2001')",March,24,2001,/wiki/Tabaco
125,Tabuk,121033,Kalinga,CAR,CC,RA 09404 [168],700.25,270.37,173.0,448.0,RA 09404 ,"('March', '23', '2007')",March,23,2007,"('June', '23', '2007')",June,23,2007,"/wiki/Tabuk,_Kalinga"
126,Tacloban,251881,Leyte,VIII,HUC,RA 00760 [169],201.72,77.88,1249.0,3234.0,RA 00760 ,"('June', '20', '1952')",June,20,1952,"('June', '12', '1953')",June,12,1953,/wiki/Tacloban
127,Tacurong,109319,Sultan Kudarat,XII,CC,RA 08805 [171],153.4,59.23,713.0,1846.0,RA 08805 ,"('August', '16', '2000')",August,16,2000,"('September', '18', '2000')",September,18,2000,/wiki/Tacurong
128,Tagaytay,85330,Cavite,IV-A,CC,CA 338 [172],65.0,25.1,1313.0,3400.0,CA 338 ,"('June', '21', '1938')",June,21,1938,"('June', '21', '1938')",June,21,1938,/wiki/Tagaytay
129,Tagbilaran,104976,Bohol,VII,CC,RA 04660 [173],36.5,14.09,2876.0,7449.0,RA 04660 ,"('June', '18', '1966')",June,18,1966,"('July', '1', '1966')",July,1,1966,/wiki/Tagbilaran
130,Taguig,886722,none ,NCR,HUC,RA 08487 [174],45.21,17.46,19613.0,50798.0,RA 08487 ,"('February', '11', '1998')",February,11,1998,"('December', '8', '2004')",December,8,2004,/wiki/Taguig
131,Tagum,296202,Davao del Norte,XI,CC,RA 08472 [176],195.8,75.6,1513.0,3918.0,RA 08472 ,"('January', '30', '1998')",January,30,1998,"('March', '7', '1998')",March,7,1998,/wiki/Tagum
132,Talisay,263048,Cebu,VII,CC,RA 08979 [177],39.87,15.39,6598.0,17088.0,RA 08979 ,"('November', '22', '2000')",November,22,2000,"('December', '30', '2000')",December,30,2000,"/wiki/Talisay,_Cebu"
133,Talisay,108909,Negros Occidental,VI,CC,RA 08489 [178],201.18,77.68,541.0,1402.0,RA 08489 ,"('February', '11', '1998')",February,11,1998,"('February', '11', '1998')",February,11,1998,"/wiki/Talisay,_Negros_Occidental"
134,Tanauan,193936,Batangas,IV-A,CC,RA 09005 [179],107.16,41.37,1810.0,4687.0,RA 09005 ,"('February', '2', '2001')",February,2,2001,"('March', '10', '2001')",March,10,2001,"/wiki/Tanauan,_Batangas"
135,Tandag,62669,Surigao del Sur,XIII,CC,RA 09392 [180],291.73,112.64,215.0,556.0,RA 09392 ,"('March', '15', '2007')",March,15,2007,"('June', '23', '2007')",June,23,2007,/wiki/Tandag
